!Pyruvic acid	
!	Moortgat 99	
251	2.84864E-20	0.37
252	2.79038E-20	0.37
253	2.71405E-20	0.37
254	2.66056E-20	0.37
255	2.58512E-20	0.37
256	2.50669E-20	0.37
257	2.42975E-20	0.37
258	2.31886E-20	0.37
259	2.15086E-20	0.37
260	2.04448E-20	0.37
261	1.93869E-20	0.37
262	1.83802E-20	0.37
263	1.76589E-20	0.37
264	1.74786E-20	0.37
265	1.72472E-20	0.37
266	1.69016E-20	0.37
267	1.64688E-20	0.37
268	1.60301E-20	0.37
269	1.55101E-20	0.37
270	1.46236E-20	0.37
271	1.38332E-20	0.37
272	1.30699E-20	0.37
273	1.28295E-20	0.37
274	1.26071E-20	0.37
275	1.23696E-20	0.37
276	1.21443E-20	0.37
277	1.19399E-20	0.37
278	1.17055E-20	0.37
279	1.14591E-20	0.37
280	1.11375E-20	0.37
281	1.07047E-20	0.37
282	1.03381E-20	0.37
283	1.00015E-20	0.37
284	9.58978E-21	0.37
285	9.20811E-21	0.37
286	8.88054E-21	0.37
287	8.57701E-21	0.37
288	8.32457E-21	0.37
289	8.00301E-21	0.37
290	7.64237E-21	0.37
291	7.33584E-21	0.37
292	7.05034E-21	0.37
293	6.75883E-21	0.37
294	6.45229E-21	0.37
295	6.15778E-21	0.37
296	5.95342E-21	0.37
297	5.80015E-21	0.37
298	5.61082E-21	0.37
299	5.44252E-21	0.37
300	5.38693E-21	0.37
301	5.28024E-21	0.37
302	5.2592E-21	0.37
303	5.30128E-21	0.37
304	5.3734E-21	0.37
305	5.57175E-21	0.37
306	5.716E-21	0.37
307	5.9414E-21	0.37
308	6.26597E-21	0.37
309	6.59354E-21	0.37
310	7.04132E-21	0.37
311	7.49812E-21	0.37
312	7.92487E-21	0.37
313	8.39369E-21	0.37
314	9.07288E-21	0.37
315	9.76709E-21	0.37
316	1.03742E-20	0.37
317	1.10473E-20	0.37
318	1.19128E-20	0.37
319	1.28805E-20	0.37
320	1.4287E-20	0.37
321	1.53298E-20	0.37
322	1.62825E-20	0.37
323	1.70488E-20	0.37
324	1.78182E-20	0.37
325	1.86326E-20	0.37
326	1.95973E-20	0.37
327	2.03576E-20	0.37
328	2.10278E-20	0.37
329	2.18362E-20	0.37
330	2.29722E-20	0.37
331	2.42194E-20	0.37
332	2.56258E-20	0.37
333	2.71555E-20	0.37
334	2.89797E-20	0.37
335	3.01698E-20	0.37
336	3.10804E-20	0.37
337	3.2003E-20	0.37
338	3.24929E-20	0.37
339	3.27183E-20	0.37
340	3.27363E-20	0.37
341	3.27423E-20	0.37
342	3.29076E-20	0.37
343	3.32983E-20	0.37
344	3.38032E-20	0.37
345	3.40796E-20	0.37
346	3.45605E-20	0.37
347	3.57716E-20	0.37
348	3.67663E-20	0.37
349	3.79745E-20	0.37
350	3.87288E-20	0.37
351	3.9402E-20	0.37
352	3.97055E-20	0.37
353	3.91796E-20	0.37
354	3.83651E-20	0.37
355	3.73944E-20	0.37
356	3.61052E-20	0.37
357	3.4287E-20	0.37
358	3.24027E-20	0.37
359	3.0831E-20	0.37
360	2.95207E-20	0.37
361	2.87513E-20	0.37
362	2.86401E-20	0.37
363	2.86101E-20	0.37
364	2.75252E-20	0.37
365	2.60736E-20	0.37
366	2.46732E-20	0.37
367	2.38708E-20	0.37
368	2.37295E-20	0.37
369	2.39549E-20	0.37
370	2.45289E-20	0.37
371	2.55387E-20	0.37
372	2.50368E-20	0.37
373	2.17551E-20	0.37
374	1.8266E-20	0.37
375	1.58047E-20	0.37
376	1.32802E-20	0.37
377	1.12487E-20	0.37
378	9.70999E-21	0.37
379	8.35462E-21	0.37
380	7.28775E-21	0.37
381	6.17581E-21	0.37
382	4.67618E-21	0.37
383	3.38993E-21	0.37
384	2.49737E-21	0.37
385	2.30804E-21	0.37
386	1.96844E-21	0.37
387	1.67994E-21	0.37
388	1.4275E-21	0.37
389	1.28926E-21	0.37
390	1.12397E-21	0.37
391	1.00075E-21	0.37
392	9.8272E-22	0.37
393	9.34636E-22	0.37
394	9.37641E-22	0.37
395	8.50488E-22	0.37
396	8.53494E-22	0.37
397	8.1142E-22	0.37
398	7.09241E-22	0.37
399	6.67168E-22	0.37
400	6.31104E-22	0.37
END
