FJX_scat-ssa.dat v7.5A    S=27 RRTMG & 17:18 edge = 485nm (05/2019)
Strat Sulf Aer: 220-250-280K x 50-70-90%
  18  27  SSA-Bkgd or SSA-Volc: Reff, Geff, Dens, T(K), wt(%)
bin  wavel  nr     ni      Q       pi0      P1    P2    P3    P4    P5    P6    P7
23  2.0390  1.3720 1.0E-03 0.38846 0.96704 1.362 1.145 0.491 0.181 0.051 0.013 0.002
24  2.3090  1.3490 1.8E-03 0.24498 0.92687 1.176 0.962 0.359 0.111 0.026 0.006 0.001
25  2.7480  1.2720 7.8E-02 0.28964 0.24870 0.888 0.756 0.240 0.057 0.010 0.002 0.000
26  3.4040  1.3830 1.5E-01 0.38849 0.19654 0.647 0.627 0.143 0.024 0.003 0.000 0.000
27  5.3620  1.3710 1.8E-01 0.23893 0.07066 0.270 0.522 0.055 0.004 0.000 0.000 0.000
Volc250K50  0.4218  0.2177  1.4308   250.0    50.0
 5  0.2020  1.4670 0.0E+00 2.62526 1.00000 2.240 3.263 3.465 4.070 4.103 4.461 4.549
 6  0.2080  1.4670 0.0E+00 2.63403 1.00000 2.235 3.251 3.438 4.047 4.077 4.437 4.503
 7  0.2110  1.4670 0.0E+00 2.63765 1.00000 2.232 3.247 3.427 4.037 4.060 4.419 4.477
 8  0.2140  1.4670 0.0E+00 2.63907 1.00000 2.231 3.243 3.421 4.026 4.046 4.399 4.452
 9  0.2620  1.4340 0.0E+00 2.54413 1.00000 2.155 3.100 3.177 3.669 3.663 3.920 3.997
10  0.2670  1.4310 0.0E+00 2.51077 1.00000 2.155 3.085 3.148 3.600 3.590 3.822 3.906
11  0.2770  1.4270 0.0E+00 2.48164 1.00000 2.134 3.036 3.060 3.470 3.444 3.656 3.745
12  0.2950  1.4190 0.0E+00 2.43270 1.00000 2.109 2.959 2.924 3.241 3.187 3.350 3.444
13  0.3030  1.4160 0.0E+00 2.41812 1.00000 2.102 2.928 2.869 3.144 3.075 3.212 3.303
14  0.3100  1.4160 0.0E+00 2.41358 1.00000 2.096 2.905 2.829 3.079 3.000 3.123 3.209
15  0.3160  1.4190 0.0E+00 2.41522 1.00000 2.085 2.879 2.787 3.027 2.939 3.057 3.139
16  0.3330  1.4160 0.0E+00 2.41955 1.00000 2.084 2.844 2.728 2.902 2.794 2.867 2.935
17  0.4290  1.4050 0.0E+00 2.71367 1.00000 2.176 2.866 2.811 2.816 2.669 2.536 2.436
18  0.6310  1.3960 2.3E-08 2.93976 1.00000 2.227 2.844 2.856 2.706 2.393 1.978 1.573
19  0.9730  1.3890 1.9E-06 1.96993 0.99998 2.018 2.409 2.120 1.643 1.112 0.689 0.379
20  1.2700  1.3820 1.0E-05 1.22751 0.99987 1.834 1.983 1.438 0.901 0.464 0.222 0.090
21  1.4480  1.3790 1.2E-04 0.92494 0.99811 1.730 1.745 1.112 0.614 0.270 0.111 0.039
22  1.7670  1.3700 3.6E-04 0.55431 0.99104 1.538 1.386 0.705 0.312 0.107 0.033 0.009
23  2.0390  1.3580 1.0E-03 0.35939 0.96471 1.359 1.145 0.493 0.181 0.051 0.013 0.003
24  2.3090  1.3350 1.8E-03 0.22560 0.92204 1.170 0.960 0.360 0.111 0.026 0.006 0.001
25  2.7480  1.2620 7.8E-02 0.28237 0.23765 0.884 0.755 0.240 0.057 0.010 0.002 0.000
26  3.4040  1.3700 1.4E-01 0.37015 0.19309 0.643 0.626 0.144 0.024 0.003 0.000 0.000
27  5.3620  1.3580 1.7E-01 0.22705 0.06898 0.268 0.522 0.055 0.004 0.000 0.000 0.000
Volc280K50  0.4218  0.2177  1.4056   280.0    50.0
 5  0.2020  1.4600 0.0E+00 2.62103 1.00000 2.254 3.285 3.488 4.089 4.141 4.498 4.606
 6  0.2080  1.4600 0.0E+00 2.62480 1.00000 2.250 3.273 3.476 4.067 4.111 4.451 4.538
 7  0.2110  1.4600 0.0E+00 2.63188 1.00000 2.243 3.264 3.459 4.055 4.092 4.434 4.507
 8  0.2140  1.4600 0.0E+00 2.63756 1.00000 2.236 3.255 3.443 4.045 4.072 4.413 4.476
 9  0.2620  1.4270 0.0E+00 2.51697 1.00000 2.165 3.107 3.189 3.653 3.653 3.891 3.975
10  0.2670  1.4240 0.0E+00 2.49936 1.00000 2.156 3.085 3.146 3.582 3.575 3.798 3.892
11  0.2770  1.4200 0.0E+00 2.46724 1.00000 2.138 3.037 3.060 3.449 3.425 3.625 3.721
12  0.2950  1.4120 0.0E+00 2.42276 1.00000 2.116 2.963 2.930 3.224 3.169 3.317 3.413
13  0.3030  1.4090 0.0E+00 2.41121 1.00000 2.110 2.936 2.880 3.132 3.062 3.184 3.275
14  0.3100  1.4090 0.0E+00 2.40910 1.00000 2.105 2.914 2.844 3.070 2.989 3.097 3.183
15  0.3160  1.4120 0.0E+00 2.40931 1.00000 2.097 2.892 2.806 3.020 2.931 3.031 3.112
16  0.3330  1.4100 0.0E+00 2.42184 1.00000 2.097 2.859 2.752 2.908 2.799 2.858 2.922
17  0.4290  1.3980 0.0E+00 2.73426 1.00000 2.198 2.900 2.869 2.870 2.724 2.582 2.471
18  0.6310  1.3890 2.3E-08 2.91672 1.00000 2.239 2.864 2.889 2.739 2.424 2.004 1.591
19  0.9730  1.3820 1.9E-06 1.91891 0.99998 2.023 2.418 2.131 1.651 1.118 0.693 0.381
20  1.2700  1.3740 1.0E-05 1.18111 0.99987 1.838 1.989 1.443 0.904 0.466 0.223 0.091
21  1.4480  1.3650 1.2E-04 0.85977 0.99797 1.735 1.754 1.117 0.616 0.272 0.111 0.039
22  1.7670  1.3560 3.6E-04 0.51214 0.99036 1.539 1.388 0.708 0.312 0.107 0.033 0.009
23  2.0390  1.3440 1.0E-03 0.33094 0.96214 1.355 1.144 0.495 0.181 0.052 0.013 0.003
24  2.3090  1.3210 1.8E-03 0.20684 0.91676 1.165 0.958 0.361 0.111 0.027 0.006 0.001
25  2.7480  1.2510 7.8E-02 0.27511 0.22535 0.880 0.753 0.241 0.057 0.010 0.002 0.000
26  3.4040  1.3580 1.4E-01 0.35243 0.19032 0.639 0.625 0.144 0.024 0.003 0.000 0.000
27  5.3620  1.3440 1.7E-01 0.21598 0.06701 0.267 0.522 0.055 0.004 0.000 0.000 0.000
Volc220K70  0.4218  0.2177  1.6885   220.0    70.0
 5  0.2020  1.5050 0.0E+00 2.61210 1.00000 2.195 3.177 3.310 3.959 3.969 4.421 4.462
 6  0.2080  1.5050 0.0E+00 2.63795 1.00000 2.184 3.165 3.275 3.945 3.932 4.398 4.387
 7  0.2110  1.5050 0.0E+00 2.62004 1.00000 2.206 3.187 3.313 3.933 3.931 4.352 4.384
 8  0.2140  1.5050 0.0E+00 2.62820 1.00000 2.202 3.179 3.310 3.921 3.911 4.318 4.340
 9  0.2620  1.4720 0.0E+00 2.60379 1.00000 2.154 3.100 3.181 3.715 3.666 3.957 3.967
10  0.2670  1.4690 0.0E+00 2.60561 1.00000 2.131 3.067 3.122 3.670 3.625 3.926 3.944
11  0.2770  1.4640 0.0E+00 2.55638 1.00000 2.122 3.034 3.065 3.562 3.511 3.780 3.809
12  0.2950  1.4560 0.0E+00 2.49995 1.00000 2.085 2.949 2.917 3.350 3.283 3.521 3.568
13  0.3030  1.4520 0.0E+00 2.47449 1.00000 2.071 2.910 2.848 3.242 3.166 3.382 3.439
14  0.3100  1.4510 0.0E+00 2.46053 1.00000 2.059 2.880 2.796 3.164 3.080 3.283 3.343
15  0.3160  1.4510 0.0E+00 2.44909 1.00000 2.050 2.853 2.751 3.096 3.004 3.194 3.255
16  0.3330  1.4500 0.0E+00 2.43190 1.00000 2.029 2.790 2.644 2.932 2.823 2.979 3.037
17  0.4290  1.4380 0.0E+00 2.61965 1.00000 2.075 2.714 2.555 2.599 2.445 2.370 2.315
18  0.6310  1.4310 2.0E-08 3.01677 1.00000 2.164 2.736 2.686 2.538 2.238 1.848 1.481
19  0.9730  1.4240 1.5E-06 2.21211 0.99999 1.988 2.359 2.063 1.593 1.080 0.669 0.367
20  1.2700  1.4170 8.6E-06 1.43128 0.99991 1.814 1.953 1.415 0.887 0.456 0.220 0.089
21  1.4480  1.4300 9.4E-05 1.17272 0.99880 1.709 1.713 1.090 0.604 0.265 0.110 0.037
22  1.7670  1.4220 4.7E-04 0.72382 0.99102 1.533 1.371 0.693 0.310 0.105 0.033 0.009
23  2.0390  1.4100 1.3E-03 0.47523 0.96721 1.368 1.143 0.486 0.180 0.050 0.013 0.002
24  2.3090  1.3880 2.1E-03 0.30491 0.92884 1.190 0.966 0.355 0.110 0.026 0.006 0.001
25  2.7480  1.3190 5.1E-02 0.25291 0.38549 0.905 0.763 0.237 0.056 0.010 0.002 0.000
26  3.4040  1.3660 1.7E-01 0.42368 0.17141 0.641 0.625 0.144 0.024 0.003 0.000 0.000
27  5.3620  1.4060 2.1E-01 0.27396 0.07444 0.274 0.523 0.055 0.004 0.000 0.000 0.000
Volc250K70  0.4218  0.2177  1.6566   250.0    70.0
 5  0.2020  1.4970 0.0E+00 2.60833 1.00000 2.214 3.208 3.359 3.980 3.989 4.407 4.468
 6  0.2080  1.4970 0.0E+00 2.63626 1.00000 2.198 3.183 3.314 3.964 3.964 4.390 4.412
 7  0.2110  1.4970 0.0E+00 2.63877 1.00000 2.199 3.184 3.312 3.952 3.942 4.364 4.376
 8  0.2140  1.4970 0.0E+00 2.64231 1.00000 2.200 3.185 3.315 3.946 3.933 4.345 4.355
 9  0.2620  1.4640 0.0E+00 2.59373 1.00000 2.154 3.100 3.177 3.708 3.676 3.962 3.997
10  0.2670  1.4600 0.0E+00 2.57021 1.00000 2.144 3.077 3.144 3.660 3.624 3.899 3.924
11  0.2770  1.4550 0.0E+00 2.54182 1.00000 2.122 3.032 3.061 3.544 3.500 3.759 3.803
12  0.2950  1.4480 0.0E+00 2.48397 1.00000 2.089 2.950 2.917 3.327 3.264 3.486 3.548
13  0.3030  1.4440 0.0E+00 2.46035 1.00000 2.075 2.911 2.848 3.219 3.146 3.347 3.414
14  0.3100  1.4420 0.0E+00 2.44547 1.00000 2.065 2.882 2.797 3.139 3.058 3.242 3.312
15  0.3160  1.4430 0.0E+00 2.43960 1.00000 2.055 2.856 2.753 3.075 2.986 3.160 3.230
16  0.3330  1.4420 0.0E+00 2.42664 1.00000 2.039 2.799 2.656 2.918 2.810 2.947 3.012
17  0.4290  1.4300 0.0E+00 2.64173 1.00000 2.099 2.749 2.613 2.645 2.493 2.402 2.338
18  0.6310  1.4230 2.0E-08 3.00426 1.00000 2.179 2.762 2.725 2.576 2.274 1.877 1.502
19  0.9730  1.4160 1.5E-06 2.15847 0.99999 1.995 2.371 2.077 1.604 1.088 0.673 0.370
20  1.2700  1.4080 8.6E-06 1.37822 0.99991 1.819 1.961 1.421 0.891 0.459 0.220 0.089
21  1.4480  1.4130 9.4E-05 1.08818 0.99871 1.716 1.724 1.098 0.607 0.266 0.111 0.038
22  1.7670  1.4050 4.7E-04 0.66612 0.99031 1.536 1.376 0.698 0.311 0.105 0.033 0.009
23  2.0390  1.3930 1.3E-03 0.43628 0.96466 1.365 1.144 0.489 0.180 0.051 0.013 0.002
24  2.3090  1.3710 2.1E-03 0.27908 0.92367 1.184 0.964 0.357 0.111 0.026 0.006 0.001
25  2.7480  1.3050 5.1E-02 0.24242 0.36797 0.899 0.761 0.237 0.056 0.010 0.002 0.000
26  3.4040  1.3520 1.6E-01 0.40514 0.16671 0.637 0.625 0.145 0.024 0.003 0.000 0.000
27  5.3620  1.3900 2.0E-01 0.26288 0.07189 0.272 0.522 0.055 0.004 0.000 0.000 0.000
Volc280K70  0.4218  0.2177  1.6268   280.0    70.0
 5  0.2020  1.4880 0.0E+00 2.62456 1.00000 2.212 3.214 3.362 4.006 4.021 4.451 4.504
 6  0.2080  1.4880 0.0E+00 2.61885 1.00000 2.225 3.222 3.388 3.984 3.999 4.379 4.441
 7  0.2110  1.4880 0.0E+00 2.63350 1.00000 2.215 3.209 3.367 3.975 3.983 4.367 4.410
 8  0.2140  1.4880 0.0E+00 2.64211 1.00000 2.209 3.202 3.351 3.968 3.967 4.354 4.382
 9  0.2620  1.4550 0.0E+00 2.58437 1.00000 2.148 3.093 3.171 3.709 3.684 3.973 4.001
10  0.2670  1.4520 0.0E+00 2.55093 1.00000 2.153 3.087 3.154 3.644 3.617 3.874 3.928
11  0.2770  1.4470 0.0E+00 2.52400 1.00000 2.125 3.033 3.061 3.525 3.488 3.734 3.793
12  0.2950  1.4390 0.0E+00 2.46668 1.00000 2.094 2.952 2.916 3.299 3.240 3.445 3.520
13  0.3030  1.4360 0.0E+00 2.44521 1.00000 2.082 2.915 2.851 3.194 3.123 3.306 3.384
14  0.3100  1.4340 0.0E+00 2.43356 1.00000 2.074 2.888 2.805 3.117 3.037 3.202 3.281
15  0.3160  1.4350 0.0E+00 2.42850 1.00000 2.064 2.862 2.761 3.056 2.968 3.123 3.198
16  0.3330  1.4340 0.0E+00 2.42181 1.00000 2.050 2.810 2.672 2.907 2.800 2.918 2.986
17  0.4290  1.4220 0.0E+00 2.66381 1.00000 2.123 2.785 2.674 2.696 2.545 2.440 2.366
18  0.6310  1.4140 2.0E-08 2.98714 1.00000 2.196 2.789 2.770 2.620 2.313 1.910 1.525
19  0.9730  1.4080 1.5E-06 2.10342 0.99999 2.002 2.382 2.090 1.616 1.095 0.678 0.372
20  1.2700  1.3980 8.6E-06 1.31951 0.99990 1.825 1.969 1.427 0.895 0.461 0.221 0.090
21  1.4480  1.3960 9.4E-05 1.00525 0.99860 1.723 1.735 1.105 0.611 0.269 0.111 0.038
22  1.7670  1.3880 4.7E-04 0.61102 0.98950 1.537 1.381 0.702 0.311 0.106 0.033 0.009
23  2.0390  1.3760 1.3E-03 0.39834 0.96181 1.362 1.145 0.491 0.181 0.051 0.013 0.002
24  2.3090  1.3550 2.1E-03 0.25486 0.91831 1.178 0.963 0.359 0.111 0.026 0.006 0.001
25  2.7480  1.2920 5.1E-02 0.23273 0.35116 0.894 0.760 0.237 0.057 0.010 0.002 0.000
26  3.4040  1.3370 1.6E-01 0.38600 0.16130 0.633 0.624 0.145 0.024 0.003 0.000 0.000
27  5.3620  1.3730 1.9E-01 0.25100 0.06906 0.270 0.522 0.055 0.004 0.000 0.000 0.000
Volc220K90  0.4218  0.2177  1.8948   220.0    90.0
 5  0.2020  1.5170 0.0E+00 2.60205 1.00000 2.184 3.155 3.260 3.919 3.921 4.410 4.428
 6  0.2080  1.5170 0.0E+00 2.60380 1.00000 2.196 3.166 3.290 3.898 3.889 4.327 4.364
 7  0.2110  1.5170 0.0E+00 2.62642 1.00000 2.180 3.149 3.271 3.892 3.875 4.312 4.326
 8  0.2140  1.5170 0.0E+00 2.64403 1.00000 2.170 3.136 3.241 3.887 3.858 4.306 4.294
 9  0.2620  1.4820 0.0E+00 2.62346 1.00000 2.147 3.089 3.164 3.722 3.671 3.985 3.969
10  0.2670  1.4790 0.0E+00 2.59537 1.00000 2.150 3.083 3.150 3.670 3.614 3.901 3.907
11  0.2770  1.4750 0.0E+00 2.58355 1.00000 2.114 3.028 3.058 3.581 3.517 3.809 3.810
12  0.2950  1.4680 0.0E+00 2.52475 1.00000 2.080 2.950 2.921 3.384 3.307 3.565 3.590
13  0.3030  1.4650 0.0E+00 2.49898 1.00000 2.064 2.909 2.851 3.281 3.197 3.438 3.472
14  0.3100  1.4650 0.0E+00 2.48515 1.00000 2.051 2.877 2.797 3.207 3.116 3.347 3.382
15  0.3160  1.4670 0.0E+00 2.47597 1.00000 2.038 2.849 2.749 3.143 3.045 3.269 3.305
16  0.3330  1.4620 0.0E+00 2.44655 1.00000 2.014 2.780 2.631 2.960 2.846 3.032 3.076
17  0.4290  1.4490 0.0E+00 2.59173 1.00000 2.042 2.668 2.479 2.542 2.386 2.335 2.290
18  0.6310  1.4420 8.9E-09 3.02878 1.00000 2.143 2.701 2.631 2.485 2.190 1.809 1.453
19  0.9730  1.4340 1.1E-06 2.27824 0.99999 1.980 2.345 2.046 1.579 1.071 0.663 0.363
20  1.2700  1.4310 6.6E-06 1.51440 0.99993 1.806 1.940 1.405 0.880 0.453 0.219 0.088
21  1.4480  1.4550 7.1E-05 1.30044 0.99919 1.697 1.693 1.079 0.598 0.261 0.110 0.037
22  1.7670  1.4490 4.6E-04 0.81948 0.99209 1.528 1.359 0.687 0.307 0.103 0.033 0.009
23  2.0390  1.4380 1.1E-03 0.54405 0.97353 1.371 1.139 0.481 0.179 0.050 0.013 0.002
24  2.3090  1.4190 1.9E-03 0.35597 0.94121 1.200 0.968 0.352 0.110 0.026 0.006 0.001
25  2.7480  1.3670 2.6E-02 0.22888 0.57516 0.923 0.770 0.233 0.055 0.010 0.002 0.000
26  3.4040  1.3500 1.7E-01 0.41641 0.16211 0.636 0.625 0.145 0.024 0.003 0.000 0.000
27  5.3620  1.4330 2.1E-01 0.27196 0.08234 0.278 0.523 0.054 0.004 0.000 0.000 0.000
Volc250K90  0.4218  0.2177  1.8615   250.0    90.0
 5  0.2020  1.5080 0.0E+00 2.60933 1.00000 2.192 3.170 3.293 3.944 3.953 4.415 4.454
 6  0.2080  1.5080 0.0E+00 2.62830 1.00000 2.191 3.170 3.282 3.938 3.931 4.391 4.404
 7  0.2110  1.5080 0.0E+00 2.61543 1.00000 2.205 3.182 3.311 3.920 3.914 4.331 4.363
 8  0.2140  1.5080 0.0E+00 2.62943 1.00000 2.196 3.170 3.298 3.910 3.898 4.311 4.328
 9  0.2620  1.4740 0.0E+00 2.61175 1.00000 2.149 3.095 3.175 3.720 3.667 3.966 3.964
10  0.2670  1.4710 0.0E+00 2.60388 1.00000 2.136 3.071 3.129 3.669 3.621 3.919 3.939
11  0.2770  1.4670 0.0E+00 2.56204 1.00000 2.121 3.032 3.065 3.567 3.512 3.787 3.808
12  0.2950  1.4600 0.0E+00 2.50835 1.00000 2.084 2.949 2.919 3.362 3.291 3.537 3.577
13  0.3030  1.4570 0.0E+00 2.48361 1.00000 2.068 2.909 2.848 3.257 3.178 3.405 3.453
14  0.3100  1.4570 0.0E+00 2.46897 1.00000 2.056 2.879 2.796 3.181 3.095 3.309 3.359
15  0.3160  1.4580 0.0E+00 2.46149 1.00000 2.042 2.850 2.747 3.118 3.022 3.230 3.277
16  0.3330  1.4540 0.0E+00 2.43583 1.00000 2.024 2.787 2.639 2.941 2.831 2.997 3.051
17  0.4290  1.4410 0.0E+00 2.61220 1.00000 2.065 2.701 2.533 2.583 2.428 2.360 2.307
18  0.6310  1.4340 8.9E-09 3.02012 1.00000 2.159 2.727 2.671 2.524 2.225 1.837 1.474
19  0.9730  1.4260 1.1E-06 2.22622 0.99999 1.986 2.357 2.060 1.590 1.078 0.668 0.367
20  1.2700  1.4210 6.6E-06 1.45488 0.99993 1.812 1.949 1.412 0.885 0.456 0.220 0.089
21  1.4480  1.4380 7.1E-05 1.21348 0.99913 1.705 1.706 1.087 0.602 0.263 0.110 0.037
22  1.7670  1.4310 4.6E-04 0.75531 0.99147 1.532 1.368 0.691 0.309 0.104 0.033 0.009
23  2.0390  1.4200 1.1E-03 0.49945 0.97146 1.369 1.142 0.484 0.180 0.050 0.013 0.002
24  2.3090  1.4020 1.9E-03 0.32771 0.93710 1.194 0.967 0.354 0.110 0.026 0.006 0.001
25  2.7480  1.3530 2.6E-02 0.21677 0.56062 0.917 0.768 0.233 0.055 0.010 0.002 0.000
26  3.4040  1.3350 1.6E-01 0.39807 0.15666 0.632 0.623 0.145 0.024 0.003 0.000 0.000
27  5.3620  1.4160 2.0E-01 0.26088 0.07960 0.276 0.523 0.054 0.004 0.000 0.000 0.000
Volc280K90  0.4218  0.2177  1.8306   280.0    90.0
 5  0.2020  1.5000 0.0E+00 2.60899 1.00000 2.207 3.197 3.344 3.973 3.981 4.408 4.462
 6  0.2080  1.5000 0.0E+00 2.62519 1.00000 2.203 3.185 3.311 3.949 3.945 4.377 4.396
 7  0.2110  1.5000 0.0E+00 2.64099 1.00000 2.194 3.177 3.298 3.946 3.929 4.364 4.363
 8  0.2140  1.5000 0.0E+00 2.63665 1.00000 2.201 3.184 3.313 3.940 3.926 4.340 4.354
 9  0.2620  1.4660 0.0E+00 2.59543 1.00000 2.156 3.101 3.180 3.710 3.673 3.959 3.990
10  0.2670  1.4630 0.0E+00 2.58537 1.00000 2.136 3.069 3.132 3.666 3.625 3.914 3.929
11  0.2770  1.4580 0.0E+00 2.54667 1.00000 2.122 3.033 3.062 3.551 3.504 3.767 3.807
12  0.2950  1.4510 0.0E+00 2.49002 1.00000 2.088 2.950 2.917 3.336 3.272 3.499 3.555
13  0.3030  1.4480 0.0E+00 2.46671 1.00000 2.072 2.911 2.848 3.230 3.155 3.364 3.428
14  0.3100  1.4480 0.0E+00 2.45572 1.00000 2.061 2.880 2.796 3.156 3.073 3.269 3.334
15  0.3160  1.4500 0.0E+00 2.44754 1.00000 2.051 2.854 2.751 3.093 3.002 3.190 3.252
16  0.3330  1.4460 0.0E+00 2.42877 1.00000 2.035 2.794 2.650 2.924 2.816 2.962 3.024
17  0.4290  1.4330 0.0E+00 2.63347 1.00000 2.090 2.735 2.591 2.627 2.474 2.390 2.329
18  0.6310  1.4250 8.9E-09 3.00784 1.00000 2.175 2.755 2.716 2.567 2.265 1.870 1.496
19  0.9730  1.4180 1.1E-06 2.17178 0.99999 1.994 2.368 2.073 1.602 1.086 0.673 0.369
20  1.2700  1.4110 6.6E-06 1.39618 0.99993 1.818 1.958 1.419 0.889 0.458 0.220 0.089
21  1.4480  1.4200 7.1E-05 1.12309 0.99906 1.713 1.719 1.094 0.606 0.266 0.111 0.038
22  1.7670  1.4130 4.6E-04 0.69295 0.99077 1.534 1.374 0.696 0.310 0.105 0.033 0.009
23  2.0390  1.4030 1.1E-03 0.45908 0.96927 1.367 1.143 0.487 0.180 0.051 0.013 0.002
24  2.3090  1.3850 1.9E-03 0.30007 0.93258 1.188 0.966 0.356 0.110 0.026 0.006 0.001
25  2.7480  1.3390 2.6E-02 0.20546 0.54518 0.912 0.766 0.234 0.055 0.010 0.002 0.000
26  3.4040  1.3200 1.6E-01 0.37873 0.15105 0.627 0.622 0.146 0.024 0.003 0.000 0.000
27  5.3620  1.3990 1.9E-01 0.24900 0.07687 0.273 0.523 0.055 0.004 0.000 0.000 0.000
