FJX_scat-ssa.dat v7.5A    S=27 RRTMG & 17:18 edge = 485nm (05/2019)
Strat Sulf Aer: 220-250-280K x 50-70-90%
  18  27  SSA-Bkgd or SSA-Volc: Reff, Geff, Dens, T(K), wt(%)
bin  wavel  nr     ni      Q       pi0      P1    P2    P3    P4    P5    P6    P7
27  5.3620  1.3580 1.7E-01 0.06096 0.00604 0.098 0.504 0.020 0.001 0.000 0.000 0.000
Bkgd280K50  0.1308  0.0245  1.4056   280.0    50.0
 5  0.2020  1.4600 0.0E+00 2.83907 1.00000 2.183 2.758 2.601 2.336 1.920 1.543 1.226
 6  0.2080  1.4600 0.0E+00 2.79884 1.00000 2.182 2.743 2.577 2.297 1.875 1.496 1.178
 7  0.2110  1.4600 0.0E+00 2.77808 1.00000 2.181 2.735 2.565 2.278 1.853 1.473 1.156
 8  0.2140  1.4600 0.0E+00 2.75808 1.00000 2.180 2.728 2.552 2.259 1.831 1.451 1.134
 9  0.2620  1.4270 0.0E+00 2.20793 1.00000 2.202 2.676 2.444 2.059 1.592 1.195 0.882
10  0.2670  1.4240 0.0E+00 2.14660 1.00000 2.201 2.665 2.425 2.032 1.560 1.164 0.853
11  0.2770  1.4200 0.0E+00 2.04066 1.00000 2.197 2.640 2.381 1.973 1.496 1.102 0.796
12  0.2950  1.4120 0.0E+00 1.85413 1.00000 2.189 2.599 2.311 1.880 1.398 1.008 0.713
13  0.3030  1.4090 0.0E+00 1.77235 1.00000 2.184 2.577 2.275 1.835 1.352 0.967 0.678
14  0.3100  1.4090 0.0E+00 1.72206 1.00000 2.176 2.553 2.240 1.793 1.312 0.932 0.648
15  0.3160  1.4120 0.0E+00 1.69224 1.00000 2.165 2.524 2.197 1.745 1.267 0.893 0.618
16  0.3330  1.4100 0.0E+00 1.56796 1.00000 2.150 2.474 2.122 1.658 1.185 0.825 0.564
17  0.4290  1.3980 0.0E+00 1.01901 1.00000 2.041 2.198 1.732 1.249 0.826 0.542 0.351
18  0.6310  1.3890 2.3E-08 0.46618 1.00000 1.752 1.676 1.095 0.666 0.371 0.208 0.110
19  0.9730  1.3820 1.9E-06 0.15753 0.99996 1.295 1.127 0.542 0.243 0.098 0.041 0.016
20  1.2700  1.3740 1.0E-05 0.07216 0.99969 0.994 0.873 0.324 0.113 0.037 0.013 0.005
21  1.4480  1.3650 1.2E-04 0.04603 0.99507 0.851 0.777 0.251 0.075 0.022 0.007 0.002
22  1.7670  1.3560 3.6E-04 0.02411 0.97595 0.652 0.667 0.170 0.040 0.010 0.003 0.001
23  2.0390  1.3440 1.0E-03 0.01453 0.90346 0.526 0.612 0.128 0.025 0.005 0.001 0.000
24  2.3090  1.3210 1.8E-03 0.00978 0.78092 0.429 0.576 0.101 0.016 0.003 0.001 0.000
25  2.7480  1.2510 7.8E-02 0.05972 0.03457 0.306 0.541 0.072 0.009 0.001 0.000 0.000
26  3.4040  1.3580 1.4E-01 0.07869 0.02467 0.223 0.521 0.048 0.004 0.000 0.000 0.000
27  5.3620  1.3440 1.7E-01 0.05782 0.00584 0.097 0.504 0.020 0.001 0.000 0.000 0.000
Bkgd220K70  0.1308  0.0245  1.6885   220.0    70.0
 5  0.2020  1.5050 0.0E+00 2.96612 1.00000 2.095 2.614 2.391 2.141 1.731 1.398 1.097
 6  0.2080  1.5050 0.0E+00 2.93594 1.00000 2.095 2.600 2.369 2.103 1.687 1.352 1.049
 7  0.2110  1.5050 0.0E+00 2.91894 1.00000 2.096 2.595 2.360 2.085 1.667 1.327 1.029
 8  0.2140  1.5050 0.0E+00 2.90397 1.00000 2.096 2.588 2.349 2.067 1.648 1.306 1.008
 9  0.2620  1.4720 0.0E+00 2.43508 1.00000 2.134 2.556 2.280 1.903 1.452 1.089 0.801
10  0.2670  1.4690 0.0E+00 2.37886 1.00000 2.134 2.547 2.265 1.880 1.426 1.063 0.778
11  0.2770  1.4640 0.0E+00 2.27070 1.00000 2.133 2.527 2.230 1.831 1.373 1.011 0.729
12  0.2950  1.4560 0.0E+00 2.08682 1.00000 2.127 2.489 2.163 1.741 1.278 0.920 0.648
13  0.3030  1.4520 0.0E+00 1.99818 1.00000 2.124 2.469 2.131 1.698 1.234 0.878 0.611
14  0.3100  1.4510 0.0E+00 1.93983 1.00000 2.118 2.448 2.100 1.660 1.196 0.844 0.583
15  0.3160  1.4510 0.0E+00 1.89159 1.00000 2.111 2.428 2.068 1.623 1.160 0.812 0.556
16  0.3330  1.4500 0.0E+00 1.76575 1.00000 2.095 2.377 1.991 1.535 1.076 0.741 0.498
17  0.4290  1.4380 0.0E+00 1.17344 1.00000 2.002 2.122 1.640 1.163 0.754 0.489 0.314
18  0.6310  1.4310 2.0E-08 0.55679 1.00000 1.736 1.638 1.052 0.633 0.349 0.195 0.102
19  0.9730  1.4240 1.5E-06 0.19310 0.99998 1.302 1.119 0.530 0.238 0.094 0.039 0.015
20  1.2700  1.4170 8.6E-06 0.08993 0.99979 1.007 0.873 0.320 0.112 0.036 0.012 0.004
21  1.4480  1.4300 9.4E-05 0.06466 0.99719 0.874 0.781 0.247 0.074 0.021 0.007 0.002
22  1.7670  1.4220 4.7E-04 0.03318 0.97821 0.675 0.672 0.167 0.040 0.009 0.003 0.001
23  2.0390  1.4100 1.3E-03 0.02046 0.91836 0.545 0.616 0.127 0.024 0.005 0.001 0.000
24  2.3090  1.3880 2.1E-03 0.01306 0.81659 0.445 0.579 0.100 0.016 0.003 0.001 0.000
25  2.7480  1.3190 5.1E-02 0.04039 0.07682 0.319 0.544 0.072 0.009 0.001 0.000 0.000
26  3.4040  1.3660 1.7E-01 0.09768 0.02187 0.223 0.521 0.047 0.004 0.000 0.000 0.000
27  5.3620  1.4060 2.1E-01 0.07255 0.00660 0.100 0.504 0.020 0.001 0.000 0.000 0.000
Bkgd250K70  0.1308  0.0245  1.6566   250.0    70.0
 5  0.2020  1.4970 0.0E+00 2.94528 1.00000 2.112 2.640 2.428 2.172 1.761 1.418 1.116
 6  0.2080  1.4970 0.0E+00 2.91443 1.00000 2.111 2.626 2.405 2.135 1.718 1.373 1.071
 7  0.2110  1.4970 0.0E+00 2.89760 1.00000 2.111 2.618 2.394 2.117 1.698 1.351 1.049
 8  0.2140  1.4970 0.0E+00 2.88032 1.00000 2.111 2.612 2.384 2.100 1.678 1.330 1.028
 9  0.2620  1.4640 0.0E+00 2.39786 1.00000 2.146 2.577 2.308 1.930 1.477 1.108 0.817
10  0.2670  1.4600 0.0E+00 2.33410 1.00000 2.148 2.571 2.296 1.909 1.453 1.083 0.793
11  0.2770  1.4550 0.0E+00 2.22523 1.00000 2.147 2.551 2.260 1.859 1.398 1.028 0.743
12  0.2950  1.4480 0.0E+00 2.04487 1.00000 2.139 2.507 2.189 1.764 1.298 0.933 0.658
13  0.3030  1.4440 0.0E+00 1.95656 1.00000 2.135 2.488 2.156 1.722 1.253 0.892 0.622
14  0.3100  1.4420 0.0E+00 1.89448 1.00000 2.131 2.470 2.129 1.686 1.218 0.860 0.595
15  0.3160  1.4430 0.0E+00 1.85138 1.00000 2.122 2.447 2.093 1.646 1.179 0.827 0.567
16  0.3330  1.4420 0.0E+00 1.72703 1.00000 2.106 2.396 2.016 1.558 1.096 0.755 0.509
